sector,pollutant,files,rows,total_emissions,max_emissions,mean_emissions,emissions_column
power,co2e,6,211110,23046776148.8112,1805833000.0,221034.02912505466,emissions_quantity
manufacturing,co2e,44,1547127,8405826654.940729,153375136.3712723,10866.741545576655,emissions_quantity
transportation,co2e,19,622754,28291969245.398888,1600112311.6110868,91680.52822131055,emissions_quantity
buildings,co2e,7,672901,27.093421697637698,0.0024940417993956,8.114572548006714e-05,emissions_factor
